Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type,lat,lon
490,20/09/2010 19:47,20/09/2010 19:55,31110,20th St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W00745,Member,38.9153997,-77.0446
1035,20/09/2010 19:51,20/09/2010 20:08,31603,1st & M St NE,31603,1st & M St NE,W00973,Member,38.9056997,-77.0056
1322,20/09/2010 19:51,20/09/2010 20:13,31201,15th & P St NW,31401,14th St & Spring Rd NW,W00318,Casual,38.9098497,-77.034438
484,20/09/2010 19:56,20/09/2010 20:04,31104,Adams Mill & Columbia Rd NW,31101,14th & V St NW,W00772,Member,38.9230444,-77.0425553
296,20/09/2010 19:57,20/09/2010 20:02,31400,Georgia & New Hampshire Ave NW,31401,14th St & Spring Rd NW,W00860,Casual,38.9360427,-77.024649
961,20/09/2010 19:57,20/09/2010 20:13,31201,15th & P St NW,31205,21st & I St NW,W00605,Casual,38.9098497,-77.034438
914,20/09/2010 19:58,20/09/2010 20:13,31201,15th & P St NW,31205,21st & I St NW,W00842,Casual,38.9098497,-77.034438
649,20/09/2010 20:02,20/09/2010 20:13,31107,Lamont & Mt Pleasant NW,31106,Calvert & Biltmore St NW,W00194,Member,38.9319014,-77.0387453
915,20/09/2010 20:04,20/09/2010 20:19,31200,Massachusetts Ave & Dupont Circle NW,31101,14th & V St NW,W00867,Casual,38.9100997,-77.0444
347,20/09/2010 20:05,20/09/2010 20:11,31104,Adams Mill & Columbia Rd NW,31200,Massachusetts Ave & Dupont Circle NW,W00344,Member,38.9230444,-77.0425553
347,20/09/2010 20:05,20/09/2010 20:11,31104,Adams Mill & Columbia Rd NW,31200,Massachusetts Ave & Dupont Circle NW,W00830,Member,38.9230444,-77.0425553
513,20/09/2010 20:05,20/09/2010 20:14,31600,5th & K St NW,31203,14th & Rhode Island Ave NW,W00911,Member,38.9025842,-77.0556545
293,20/09/2010 20:06,20/09/2010 20:11,31202,14th & R St NW,31101,14th & V St NW,W01084,Member,38.9126963,-77.03167
357,20/09/2010 20:07,20/09/2010 20:13,31111,10th & U St NW,31101,14th & V St NW,W00968,Member,38.9171997,-77.0259
636,20/09/2010 20:10,20/09/2010 20:21,31110,20th St & Florida Ave NW,31111,10th & U St NW,W00159,Member,38.9153997,-77.0446
1669,20/09/2010 20:10,20/09/2010 20:38,31600,5th & K St NW,31105,14th & Harvard St NW,W01113,Member,38.9025842,-77.0556545
988,20/09/2010 20:11,20/09/2010 20:27,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00380,Member,38.9100997,-77.0444
365,20/09/2010 20:14,20/09/2010 20:20,31111,10th & U St NW,31203,14th & Rhode Island Ave NW,W01050,Member,38.9171997,-77.0259
2564,20/09/2010 20:15,20/09/2010 20:57,31111,10th & U St NW,31111,10th & U St NW,W00569,Member,38.9171997,-77.0259
204,20/09/2010 20:19,20/09/2010 20:22,31106,Calvert & Biltmore St NW,31106,Calvert & Biltmore St NW,W00796,Member,38.9232108,-77.0476393
1186,20/09/2010 20:24,20/09/2010 20:43,31204,20th & E St NW,31110,20th St & Florida Ave NW,W00428,Member,38.8963209,-77.045018
3841,20/09/2010 20:28,20/09/2010 21:32,31108,4th & M St SW,31108,4th & M St SW,W01024,Casual,38.8766997,-77.0178
3728,20/09/2010 20:30,20/09/2010 21:32,31108,4th & M St SW,31108,4th & M St SW,W00959,Casual,38.8766997,-77.0178
278,20/09/2010 20:36,20/09/2010 20:40,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00796,Member,38.9232108,-77.0476393
148,20/09/2010 20:49,20/09/2010 20:52,31602,Park Rd & Holmead Pl NW,31602,Park Rd & Holmead Pl NW,W00775,Member,38.9308232,-77.0315137
433,20/09/2010 20:50,20/09/2010 20:57,31203,14th & Rhode Island Ave NW,31600,5th & K St NW,W00289,Member,38.9085997,-77.0323
1239,20/09/2010 20:52,20/09/2010 21:13,31103,16th & Harvard St NW,31107,Lamont & Mt Pleasant NW,W00948,Member,38.9261399,-77.0366677
260,20/09/2010 20:53,20/09/2010 20:57,31101,14th & V St NW,31203,14th & Rhode Island Ave NW,W01067,Member,38.9175997,-77.0321
